TreeID,Conductance_mmol_m2s,date,spp,id,con,temp,water,week
PIEN42,248.6,2025-10-10T07:00:00Z,PIEN,42,248.6,heatwave,water,12
PIEN45,123.3,2025-10-10T07:00:00Z,PIEN,45,123.3,heatwave,drought,12
PIEN46,430.7,2025-10-10T07:00:00Z,PIEN,46,430.7,heatwave,water,12
PIEN56,101.2,2025-10-10T07:00:00Z,PIEN,56,101.2,heatwave,drought,12
PIFL1,425.7,2025-07-22T07:00:00Z,PIFL,1,425.7,ambient,water,1
PIFL3,227.1,2025-07-22T07:00:00Z,PIFL,3,227.1,ambient,drought,1
PIFL9,118.7,2025-07-22T07:00:00Z,PIFL,9,118.7,ambient,water,1
PIFL10,398.7,2025-07-22T07:00:00Z,PIFL,10,398.7,ambient,drought,1
PIFL12,253.4,2025-07-22T07:00:00Z,PIFL,12,253.4,ambient,water,1
PIFL17,191.7,2025-07-22T07:00:00Z,PIFL,17,191.7,ambient,drought,1
PIFL21,314,2025-07-22T07:00:00Z,PIFL,21,314,ambient,water,1
PIFL27,234.9,2025-07-22T07:00:00Z,PIFL,27,234.9,ambient,drought,1
PIFL28,377.1,2025-07-22T07:00:00Z,PIFL,28,377.1,ambient,water,1
PIFL29,222.8,2025-07-22T07:00:00Z,PIFL,29,222.8,ambient,drought,1
PIFL36,364.6,2025-07-22T07:00:00Z,PIFL,36,364.6,heatwave,water,1
PIFL40,322.8,2025-07-22T07:00:00Z,PIFL,40,322.8,heatwave,drought,1
PIFL41,268,2025-07-22T07:00:00Z,PIFL,41,268,heatwave,water,1
PIFL43,221,2025-07-22T07:00:00Z,PIFL,43,221,heatwave,drought,1
PIFL46,232.5,2025-07-22T07:00:00Z,PIFL,46,232.5,heatwave,water,1
PIFL47,262.4,2025-07-22T07:00:00Z,PIFL,47,262.4,heatwave,drought,1
PIFL52,238.9,2025-07-22T07:00:00Z,PIFL,52,238.9,heatwave,water,1
PIFL54,188.3,2025-07-22T07:00:00Z,PIFL,54,188.3,heatwave,drought,1
PIFL55,331.5,2025-07-22T07:00:00Z,PIFL,55,331.5,heatwave,water,1
PIFL57,195.5,2025-07-22T07:00:00Z,PIFL,57,195.5,heatwave,drought,1
PIFL1,325.3,2025-07-29T07:00:00Z,PIFL,1,325.3,ambient,water,2
PIFL3,324.6,2025-07-29T07:00:00Z,PIFL,3,324.6,ambient,drought,2
PIFL9,100.5,2025-07-29T07:00:00Z,PIFL,9,100.5,ambient,water,2
PIFL10,158.5,2025-07-29T07:00:00Z,PIFL,10,158.5,ambient,drought,2
PIFL12,225,2025-07-29T07:00:00Z,PIFL,12,225,ambient,water,2
PIFL17,288.7,2025-07-29T07:00:00Z,PIFL,17,288.7,ambient,drought,2
PIFL21,254.7,2025-07-29T07:00:00Z,PIFL,21,254.7,ambient,water,2
PIFL27,285.8,2025-07-29T07:00:00Z,PIFL,27,285.8,ambient,drought,2
PIFL28,256.8,2025-07-29T07:00:00Z,PIFL,28,256.8,ambient,water,2
PIFL29,269.8,2025-07-29T07:00:00Z,PIFL,29,269.8,ambient,drought,2
PIFL36,284.8,2025-07-29T07:00:00Z,PIFL,36,284.8,heatwave,water,2
PIFL40,210.2,2025-07-29T07:00:00Z,PIFL,40,210.2,heatwave,drought,2
PIFL41,258.1,2025-07-29T07:00:00Z,PIFL,41,258.1,heatwave,water,2
PIFL43,245.1,2025-07-29T07:00:00Z,PIFL,43,245.1,heatwave,drought,2
PIFL46,345,2025-07-29T07:00:00Z,PIFL,46,345,heatwave,water,2
PIFL47,300.2,2025-07-29T07:00:00Z,PIFL,47,300.2,heatwave,drought,2
PIFL52,269.6,2025-07-29T07:00:00Z,PIFL,52,269.6,heatwave,water,2
PIFL54,215.8,2025-07-29T07:00:00Z,PIFL,54,215.8,heatwave,drought,2
PIFL55,287.1,2025-07-29T07:00:00Z,PIFL,55,287.1,heatwave,water,2
PIFL57,277.4,2025-07-29T07:00:00Z,PIFL,57,277.4,heatwave,drought,2
PIFL1,302.1,2025-08-05T07:00:00Z,PIFL,1,302.1,ambient,water,3
PIFL3,248.5,2025-08-05T07:00:00Z,PIFL,3,248.5,ambient,drought,3
PIFL9,258.8,2025-08-05T07:00:00Z,PIFL,9,258.8,ambient,water,3
PIFL10,391.4,2025-08-05T07:00:00Z,PIFL,10,391.4,ambient,drought,3
PIFL12,385.4,2025-08-05T07:00:00Z,PIFL,12,385.4,ambient,water,3
PIFL17,359.2,2025-08-05T07:00:00Z,PIFL,17,359.2,ambient,drought,3
PIFL21,307.5,2025-08-05T07:00:00Z,PIFL,21,307.5,ambient,water,3
PIFL27,280.4,2025-08-05T07:00:00Z,PIFL,27,280.4,ambient,drought,3
PIFL28,410.8,2025-08-05T07:00:00Z,PIFL,28,410.8,ambient,water,3
PIFL29,258.7,2025-08-05T07:00:00Z,PIFL,29,258.7,ambient,drought,3
PIFL36,322.4,2025-08-05T07:00:00Z,PIFL,36,322.4,heatwave,water,3
PIFL40,373.4,2025-08-05T07:00:00Z,PIFL,40,373.4,heatwave,drought,3
PIFL41,343.2,2025-08-05T07:00:00Z,PIFL,41,343.2,heatwave,water,3
PIFL43,372.6,2025-08-05T07:00:00Z,PIFL,43,372.6,heatwave,drought,3
PIFL46,361.1,2025-08-05T07:00:00Z,PIFL,46,361.1,heatwave,water,3
PIFL47,279.2,2025-08-05T07:00:00Z,PIFL,47,279.2,heatwave,drought,3
PIFL52,374,2025-08-05T07:00:00Z,PIFL,52,374,heatwave,water,3
PIFL54,241.7,2025-08-05T07:00:00Z,PIFL,54,241.7,heatwave,drought,3
PIFL55,475.5,2025-08-05T07:00:00Z,PIFL,55,475.5,heatwave,water,3
PIFL57,280.8,2025-08-05T07:00:00Z,PIFL,57,280.8,heatwave,drought,3
PIFL1,356.5,2025-08-12T07:00:00Z,PIFL,1,356.5,ambient,water,4
PIFL3,388.2,2025-08-12T07:00:00Z,PIFL,3,388.2,ambient,drought,4
PIFL9,182.4,2025-08-12T07:00:00Z,PIFL,9,182.4,ambient,water,4
PIFL10,380,2025-08-12T07:00:00Z,PIFL,10,380,ambient,drought,4
PIFL12,332.3,2025-08-12T07:00:00Z,PIFL,12,332.3,ambient,water,4
PIFL17,429.2,2025-08-12T07:00:00Z,PIFL,17,429.2,ambient,drought,4
PIFL21,404.1,2025-08-12T07:00:00Z,PIFL,21,404.1,ambient,water,4
PIFL27,263.5,2025-08-12T07:00:00Z,PIFL,27,263.5,ambient,drought,4
PIFL28,312.4,2025-08-12T07:00:00Z,PIFL,28,312.4,ambient,water,4
PIFL29,227.9,2025-08-12T07:00:00Z,PIFL,29,227.9,ambient,drought,4
PIFL36,327.6,2025-08-12T07:00:00Z,PIFL,36,327.6,heatwave,water,4
PIFL40,294.1,2025-08-12T07:00:00Z,PIFL,40,294.1,heatwave,drought,4
PIFL41,315.1,2025-08-12T07:00:00Z,PIFL,41,315.1,heatwave,water,4
PIFL43,373.2,2025-08-12T07:00:00Z,PIFL,43,373.2,heatwave,drought,4
PIFL46,342.6,2025-08-12T07:00:00Z,PIFL,46,342.6,heatwave,water,4
PIFL47,387.2,2025-08-12T07:00:00Z,PIFL,47,387.2,heatwave,drought,4
PIFL52,369.9,2025-08-12T07:00:00Z,PIFL,52,369.9,heatwave,water,4
PIFL54,289.3,2025-08-12T07:00:00Z,PIFL,54,289.3,heatwave,drought,4
PIFL55,388.1,2025-08-12T07:00:00Z,PIFL,55,388.1,heatwave,water,4
PIFL57,365.7,2025-08-12T07:00:00Z,PIFL,57,365.7,heatwave,drought,4
PIFL1,372.9,2025-08-19T07:00:00Z,PIFL,1,372.9,ambient,water,5
PIFL3,251.4,2025-08-19T07:00:00Z,PIFL,3,251.4,ambient,drought,5
PIFL9,239.1,2025-08-19T07:00:00Z,PIFL,9,239.1,ambient,water,5
PIFL10,320.5,2025-08-19T07:00:00Z,PIFL,10,320.5,ambient,drought,5
PIFL12,308.3,2025-08-19T07:00:00Z,PIFL,12,308.3,ambient,water,5
PIFL17,176.2,2025-08-19T07:00:00Z,PIFL,17,176.2,ambient,drought,5
PIFL21,360.1,2025-08-19T07:00:00Z,PIFL,21,360.1,ambient,water,5
PIFL27,172.8,2025-08-19T07:00:00Z,PIFL,27,172.8,ambient,drought,5
PIFL28,283.4,2025-08-19T07:00:00Z,PIFL,28,283.4,ambient,water,5
PIFL29,408.7,2025-08-19T07:00:00Z,PIFL,29,408.7,ambient,drought,5
