TreeID,date,spp,id,brown_perc,diam_mm,temp,water,weight,day,week
PIEN42,2025-07-31T07:00:00Z,PIEN,42,10,5.8,heatwave,water,440.7,10,2
PIEN43,2025-07-31T07:00:00Z,PIEN,43,10,3.9,heatwave,drought,429.3,10,2
PIEN44,2025-07-31T07:00:00Z,PIEN,44,10,5,heatwave,drought,347.1,10,2
PIEN45,2025-07-31T07:00:00Z,PIEN,45,10,5.1,heatwave,drought,359.4,10,2
PIEN46,2025-07-31T07:00:00Z,PIEN,46,10,3.4,heatwave,water,483.7,10,2
PIEN47,2025-07-31T07:00:00Z,PIEN,47,10,4.9,heatwave,drought,463.3,10,2
PIEN48,2025-07-31T07:00:00Z,PIEN,48,10,4.8,heatwave,drought,448.5,10,2
PIEN49,2025-07-31T07:00:00Z,PIEN,49,10,5.2,heatwave,drought,399.6,10,2
PIEN50,2025-07-31T07:00:00Z,PIEN,50,10,3.4,heatwave,drought,445.8,10,2
PIEN51,2025-07-31T07:00:00Z,PIEN,51,10,5.7,heatwave,drought,428.7,10,2
PIEN52,2025-07-31T07:00:00Z,PIEN,52,10,5.1,heatwave,drought,475.6,10,2
PIEN53,2025-07-31T07:00:00Z,PIEN,53,10,6.1,heatwave,drought,346.4,10,2
PIEN54,2025-07-31T07:00:00Z,PIEN,54,10,5.3,heatwave,drought,387.9,10,2
PIEN55,2025-07-31T07:00:00Z,PIEN,55,10,5.1,heatwave,drought,372.1,10,2
PIEN56,2025-07-31T07:00:00Z,PIEN,56,10,3.4,heatwave,drought,446.2,10,2
PIEN57,2025-07-31T07:00:00Z,PIEN,57,10,5.2,heatwave,drought,416.5,10,2
PIEN58,2025-07-31T07:00:00Z,PIEN,58,10,3.9,heatwave,drought,447.8,10,2
PIEN59,2025-07-31T07:00:00Z,PIEN,59,10,6,heatwave,drought,426.8,10,2
PIEN60,2025-07-31T07:00:00Z,PIEN,60,10,3.8,heatwave,drought,430.1,10,2
PIEN1,2025-08-07T07:00:00Z,PIEN,1,10,4.1,ambient,water,536.2,17,3
PIEN2,2025-08-07T07:00:00Z,PIEN,2,10,6.4,ambient,drought,319.3,17,3
PIEN3,2025-08-07T07:00:00Z,PIEN,3,10,6.2,ambient,drought,414.4,17,3
PIEN4,2025-08-07T07:00:00Z,PIEN,4,10,4.5,ambient,drought,421.3,17,3
PIEN5,2025-08-07T07:00:00Z,PIEN,5,10,5.6,ambient,drought,370.6,17,3
PIEN6,2025-08-07T07:00:00Z,PIEN,6,10,4.5,ambient,drought,464.4,17,3
PIEN7,2025-08-07T07:00:00Z,PIEN,7,10,5.4,ambient,drought,389.2,17,3
PIEN8,2025-08-07T07:00:00Z,PIEN,8,10,4.6,ambient,drought,462.2,17,3
PIEN9,2025-08-07T07:00:00Z,PIEN,9,10,4.7,ambient,water,561.7,17,3
PIEN10,2025-08-07T07:00:00Z,PIEN,10,10,5.1,ambient,drought,363.8,17,3
PIEN11,2025-08-07T07:00:00Z,PIEN,11,10,5.4,ambient,drought,343.9,17,3
PIEN12,2025-08-07T07:00:00Z,PIEN,12,10,5.3,ambient,drought,456.8,17,3
PIEN13,2025-08-07T07:00:00Z,PIEN,13,10,5.4,ambient,drought,373.6,17,3
PIEN14,2025-08-07T07:00:00Z,PIEN,14,10,5.8,ambient,drought,424,17,3
PIEN15,2025-08-07T07:00:00Z,PIEN,15,10,5,ambient,drought,433.8,17,3
PIEN16,2025-08-07T07:00:00Z,PIEN,16,10,4.7,ambient,drought,444.5,17,3
PIEN17,2025-08-07T07:00:00Z,PIEN,17,10,5.2,ambient,drought,448.7,17,3
PIEN18,2025-08-07T07:00:00Z,PIEN,18,10,5,ambient,water,535.9,17,3
PIEN19,2025-08-07T07:00:00Z,PIEN,19,10,3.9,ambient,drought,494.7,17,3
PIEN20,2025-08-07T07:00:00Z,PIEN,20,10,5.6,ambient,drought,398.4,17,3
